ID: koa_10011008_001 | Count: 2
ID: koa_10011009_004 | Count: 1
ID: koa_10011010_002 | Count: 5
ID: koa_10011010_003 | Count: 10
ID: koa_10011010_007 | Count: 1
ID: koa_10011011_002 | Count: 1
ID: koa_10011012_001 | Count: 1
ID: koa_10011013_001 | Count: 3
ID: koa_10011013_002 | Count: 2
ID: koa_10011013_004 | Count: 1
ID: koa_10011016_001 | Count: 2
ID: koa_10011016_002 | Count: 1
ID: koa_10011017_001 | Count: 18
ID: koa_10011020_001 | Count: 3
ID: koa_10011020_003 | Count: 13
ID: koa_10011021_003 | Count: 11
ID: koa_10011021_005 | Count: 1
ID: koa_10011021_008 | Count: 4
ID: koa_10011022_001 | Count: 1
ID: koa_10011023_003 | Count: 5
ID: koa_10011023_004 | Count: 1
ID: koa_10011024_001 | Count: 3
ID: koa_10011024_002 | Count: 1
ID: koa_10011025_001 | Count: 1
ID: koa_10011025_002 | Count: 1
ID: koa_10011027_001 | Count: 2
ID: koa_10011027_003 | Count: 1
ID: koa_10011028_002 | Count: 5
ID: koa_10011028_003 | Count: 1
ID: koa_10012004_002 | Count: 1
ID: koa_10012005_001 | Count: 1
ID: koa_10012005_002 | Count: 1
ID: koa_10012006_001 | Count: 11
ID: koa_10012006_003 | Count: 1
ID: koa_10012008_002 | Count: 18
ID: koa_10012009_001 | Count: 1
ID: koa_10012012_001 | Count: 2
ID: koa_10012013_001 | Count: 1
ID: koa_10012013_002 | Count: 2
ID: koa_10012014_002 | Count: 1
ID: koa_10012016_001 | Count: 2
ID: koa_10012017_001 | Count: 8
ID: koa_10012017_002 | Count: 1
ID: koa_10012019_001 | Count: 4
ID: koa_10012019_003 | Count: 3
ID: koa_10012019_004 | Count: 6
ID: koa_10012021_002 | Count: 3
ID: koa_10012022_002 | Count: 1
ID: koa_10012024_001 | Count: 3
ID: koa_10012025_002 | Count: 4
ID: koa_10012027_002 | Count: 3
ID: koa_10012029_001 | Count: 6
ID: koa_10101002_001 | Count: 2
ID: koa_10101003_002 | Count: 7
ID: koa_10101004_001 | Count: 1
ID: koa_10101006_001 | Count: 1
ID: koa_10101007_003 | Count: 2
ID: koa_10101007_005 | Count: 19
ID: koa_10101007_007 | Count: 1
ID: koa_10101008_001 | Count: 11
ID: koa_10101008_004 | Count: 1
ID: koa_10101009_002 | Count: 3
ID: koa_10101009_003 | Count: 2
ID: koa_10101010_001 | Count: 5
ID: koa_10101010_005 | Count: 1
ID: koa_10101011_002 | Count: 1
ID: koa_10101011_003 | Count: 1
ID: koa_10101013_003 | Count: 5
ID: koa_10101016_003 | Count: 4
ID: koa_10101017_003 | Count: 7
ID: koa_10101018_001 | Count: 3
ID: koa_10101018_002 | Count: 6
ID: koa_10101018_004 | Count: 1
ID: koa_10101018_006 | Count: 5
ID: koa_10101018_007 | Count: 4
ID: koa_10101019_002 | Count: 8
ID: koa_10101020_002 | Count: 5
ID: koa_10101020_003 | Count: 5
ID: koa_10101021_002 | Count: 4
ID: koa_10101022_001 | Count: 4
ID: koa_10101023_001 | Count: 7
ID: koa_10101023_002 | Count: 5
ID: koa_10101024_002 | Count: 3
ID: koa_10101025_001 | Count: 5
ID: koa_10101025_002 | Count: 4
ID: koa_10101025_003 | Count: 1
ID: koa_10101025_004 | Count: 8
ID: koa_10101026_001 | Count: 1
ID: koa_10101026_002 | Count: 1
